Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ambedkarnagar,Akbarpur,Masur Dal,Masoor Gola,FAQ,7700,7800,7750,09-Jan-25
2,Ambedkarnagar,Akbarpur,Masur Dal,Masoor Gola,FAQ,7700,7900,7800,13-Jan-25
3,Ambedkarnagar,Akbarpur,Masur Dal,Masoor Gola,FAQ,7780,7900,7820,04-Jan-25
4,Ambedkarnagar,Akbarpur,Masur Dal,Masoor Gola,FAQ,7800,7950,7850,08-Jan-25
5,Ambedkarnagar,Akbarpur,Masur Dal,Masur Dal,FAQ,7650,7800,7740,01-Feb-25
6,Ambedkarnagar,Akbarpur,Masur Dal,Masur Dal,FAQ,7700,7850,7760,28-Jan-25
7,Prayagraj,Allahabad,Masur Dal,Masur Dal,FAQ,7880,8000,7900,31-Jan-25
8,Prayagraj,Allahabad,Masur Dal,Masur Dal,FAQ,8000,8100,8050,24-Jan-25
9,Paschim Bardhaman,Asansol,Masur Dal,Masur Dal,FAQ,9550,9750,9600,31-Jan-25
10,Paschim Bardhaman,Asansol,Masur Dal,Masur Dal,FAQ,10500,10800,10600,01-Feb-25
11,Azamgarh,Azamgarh,Masur Dal,Masur Dal,FAQ,8050,8150,8100,09-Jan-25
12,Azamgarh,Azamgarh,Masur Dal,Masur Dal,FAQ,8050,8150,8100,10-Jan-25
13,Azamgarh,Azamgarh,Masur Dal,Masur Dal,FAQ,8050,8150,8100,15-Jan-25
14,Azamgarh,Azamgarh,Masur Dal,Masur Dal,FAQ,8050,8160,8110,13-Jan-25
15,Azamgarh,Azamgarh,Masur Dal,Masur Dal,FAQ,8065,8165,8115,20-Jan-25
16,Azamgarh,Azamgarh,Masur Dal,Masur Dal,FAQ,8075,8175,8125,07-Jan-25
17,Azamgarh,Azamgarh,Masur Dal,Masur Dal,FAQ,8075,8175,8125,08-Jan-25
18,Azamgarh,Azamgarh,Masur Dal,Masur Dal,FAQ,8075,8175,8125,17-Jan-25
19,Azamgarh,Azamgarh,Masur Dal,Masur Dal,FAQ,8075,8175,8125,30-Jan-25
20,Azamgarh,Azamgarh,Masur Dal,Masur Dal,FAQ,8100,8200,8140,04-Jan-25
21,Azamgarh,Azamgarh,Masur Dal,Masur Dal,FAQ,8100,8200,8150,21-Jan-25
22,Azamgarh,Azamgarh,Masur Dal,Masur Dal,FAQ,8100,8200,8150,22-Jan-25
23,Azamgarh,Azamgarh,Masur Dal,Masur Dal,FAQ,8115,8215,8165,23-Jan-25
24,Azamgarh,Azamgarh,Masur Dal,Masur Dal,FAQ,8115,8215,8165,24-Jan-25
25,Azamgarh,Azamgarh,Masur Dal,Masur Dal,FAQ,8125,8225,8175,28-Jan-25
26,Bahraich,Bahraich,Masur Dal,Masur Dal,FAQ,7950,8150,8050,25-Jan-25
27,Bahraich,Bahraich,Masur Dal,Masur Dal,FAQ,7950,8150,8050,28-Jan-25
28,Bahraich,Bahraich,Masur Dal,Masur Dal,FAQ,8000,8150,8075,01-Feb-25
29,Bahraich,Bahraich,Masur Dal,Masur Dal,FAQ,8000,8150,8075,27-Jan-25
30,Bahraich,Bahraich,Masur Dal,Masur Dal,FAQ,8000,8150,8075,30-Jan-25
31,Bahraich,Bahraich,Masur Dal,Masur Dal,FAQ,8000,8200,8100,10-Jan-25
32,Bahraich,Bahraich,Masur Dal,Masur Dal,FAQ,8000,8200,8100,11-Jan-25
33,Bahraich,Bahraich,Masur Dal,Masur Dal,FAQ,8000,8200,8100,13-Jan-25
34,Bahraich,Bahraich,Masur Dal,Masur Dal,FAQ,8000,8200,8100,15-Jan-25
35,Bahraich,Bahraich,Masur Dal,Masur Dal,FAQ,8000,8200,8100,18-Jan-25
36,Bahraich,Bahraich,Masur Dal,Masur Dal,FAQ,8000,8200,8100,31-Jan-25
37,Bahraich,Bahraich,Masur Dal,Masur Dal,FAQ,8000,8235,8125,17-Jan-25
38,Bahraich,Bahraich,Masur Dal,Masur Dal,FAQ,8050,8200,8120,14-Jan-25
39,Bahraich,Bahraich,Masur Dal,Masur Dal,FAQ,8050,8200,8120,20-Jan-25
40,Bahraich,Bahraich,Masur Dal,Masur Dal,FAQ,8050,8200,8125,21-Jan-25
41,Bahraich,Bahraich,Masur Dal,Masur Dal,FAQ,8050,8250,8140,23-Jan-25
42,Bahraich,Bahraich,Masur Dal,Masur Dal,FAQ,8050,8300,8120,16-Jan-25
43,Bahraich,Bahraich,Masur Dal,Masur Dal,FAQ,8050,8425,8135,22-Jan-25
44,Bahraich,Bahraich,Masur Dal,Masur Dal,FAQ,8100,8200,8150,24-Jan-25
45,Bahraich,Bahraich,Masur Dal,Masur Dal,FAQ,8100,8300,8200,08-Jan-25
46,Bahraich,Bahraich,Masur Dal,Masur Dal,FAQ,8100,8300,8200,09-Jan-25
47,Bahraich,Bahraich,Masur Dal,Masur Dal,FAQ,8150,8350,8250,03-Jan-25
48,Bahraich,Bahraich,Masur Dal,Masur Dal,FAQ,8150,8350,8260,06-Jan-25
49,Bahraich,Bahraich,Masur Dal,Masur Dal,FAQ,8150,8350,8260,07-Jan-25
50,Bahraich,Bahraich,Masur Dal,Masur Dal,FAQ,8150,8350,8265,04-Jan-25
51,Bankura,Bankura Sadar,Masur Dal,Masur Dal,FAQ,8200,9600,9500,02-Jan-25
52,Bankura,Bankura Sadar,Masur Dal,Masur Dal,FAQ,8200,9600,9500,03-Jan-25
