Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Sangrur,Bhawanigarh,Gram Raw(Chholia),Other,FAQ,23000,24000,23500,20-Jan-25
2,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,4000,5100,4550,24-Jan-25
3,Jalandhar,Jalandhar City(Jalandhar),Gram Raw(Chholia),Gram Raw(Chholia),FAQ,2600,4500,3500,18-Jan-25
4,Jalandhar,Jalandhar City(Jalandhar),Gram Raw(Chholia),Gram Raw(Chholia),FAQ,2600,4500,3500,23-Jan-25
5,Jalandhar,Jalandhar City(Jalandhar),Gram Raw(Chholia),Gram Raw(Chholia),FAQ,2800,4500,3600,16-Jan-25
6,Jalandhar,Jalandhar City(Jalandhar),Gram Raw(Chholia),Gram Raw(Chholia),FAQ,2800,4500,3600,20-Jan-25
7,Jalandhar,Jalandhar City(Jalandhar),Gram Raw(Chholia),Gram Raw(Chholia),FAQ,2900,4800,3800,24-Jan-25
8,Jalandhar,Jalandhar City(Jalandhar),Gram Raw(Chholia),Gram Raw(Chholia),FAQ,3000,4000,3500,21-Jan-25
9,Jalandhar,Jalandhar City(Jalandhar),Gram Raw(Chholia),Gram Raw(Chholia),FAQ,3000,4600,3800,01-Feb-25
10,Jalandhar,Jalandhar City(Jalandhar),Gram Raw(Chholia),Gram Raw(Chholia),FAQ,3000,5000,4000,17-Jan-25
11,Jalandhar,Jalandhar City(Jalandhar),Gram Raw(Chholia),Gram Raw(Chholia),FAQ,3000,5000,4000,28-Jan-25
12,Jalandhar,Jalandhar City(Jalandhar),Gram Raw(Chholia),Gram Raw(Chholia),FAQ,3000,5000,4000,29-Jan-25
13,Jalandhar,Jalandhar City(Jalandhar),Gram Raw(Chholia),Gram Raw(Chholia),FAQ,3300,5500,4000,25-Jan-25
14,Jalandhar,Jalandhar City(Jalandhar),Gram Raw(Chholia),Gram Raw(Chholia),FAQ,3300,5500,4400,31-Jan-25
15,Jalandhar,Jalandhar City(Jalandhar),Gram Raw(Chholia),Gram Raw(Chholia),FAQ,3400,5500,3900,27-Jan-25
16,Jalandhar,Jalandhar City(Jalandhar),Gram Raw(Chholia),Gram Raw(Chholia),FAQ,3800,5000,4400,22-Jan-25
17,Muktsar,Malout,Gram Raw(Chholia),Other,FAQ,1000,1300,1100,30-Jan-25
18,Muktsar,Malout,Gram Raw(Chholia),Other,FAQ,1000,1400,1200,22-Jan-25
19,Muktsar,Malout,Gram Raw(Chholia),Other,FAQ,1000,1900,1500,07-Jan-25
20,Muktsar,Malout,Gram Raw(Chholia),Other,FAQ,1200,1800,1400,21-Jan-25
21,Muktsar,Malout,Gram Raw(Chholia),Other,FAQ,1200,1800,1500,20-Jan-25
22,Muktsar,Malout,Gram Raw(Chholia),Other,FAQ,1300,1800,1600,18-Jan-25
23,Muktsar,Malout,Gram Raw(Chholia),Other,FAQ,1400,1800,1600,17-Jan-25
24,Muktsar,Malout,Gram Raw(Chholia),Other,FAQ,1400,1900,1500,02-Jan-25
25,Muktsar,Malout,Gram Raw(Chholia),Other,FAQ,1400,2000,1700,03-Jan-25
