Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Auraiya,Achalda,Onion,Red,FAQ,2500,2700,2600,03-Jan-25
2,Agra,Achnera,Onion,Red,FAQ,2000,2100,2050,28-Jan-25
3,Agra,Achnera,Onion,Red,FAQ,2220,2300,2260,22-Jan-25
4,Shajapur,Agar,Onion,Onion,FAQ,500,3000,3000,04-Jan-25
5,Shajapur,Agar,Onion,Onion,FAQ,825,2600,2600,07-Jan-25
6,Shajapur,Agar,Onion,Onion,FAQ,850,2200,2200,13-Jan-25
7,Agra,Agra,Onion,Red,FAQ,2200,2500,2360,15-Jan-25
8,Mirzapur,Ahirora,Onion,Red,Non-FAQ,1400,1600,1500,23-Jan-25
9,Mirzapur,Ahirora,Onion,Red,Non-FAQ,1700,1800,1800,21-Jan-25
10,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Onion,Local,FAQ,1250,2750,2550,02-Jan-25
11,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Onion,Nasik,FAQ,2500,3500,3300,01-Jan-25
12,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Onion,Bellary,Local,4000,4600,4600,21-Jan-25
13,Ajmer,Ajmer(F&V),Onion,Other,FAQ,1200,2800,2000,16-Jan-25
14,Amritsar,Ajnala,Onion,Red,FAQ,2500,2700,2600,18-Jan-25
15,Amritsar,Ajnala,Onion,Red,FAQ,2500,2800,2600,17-Jan-25
16,Amritsar,Ajnala,Onion,Red,FAQ,2500,3000,2700,20-Jan-25
17,Prayagraj,Ajuha,Onion,Red,FAQ,1830,1970,1900,27-Jan-25
18,Ambedkarnagar,Akbarpur,Onion,Red,FAQ,2300,2380,2370,30-Jan-25
19,Ambedkarnagar,Akbarpur,Onion,Red,FAQ,2300,2500,2440,08-Jan-25
20,Ambedkarnagar,Akbarpur,Onion,Red,FAQ,2470,2600,2530,01-Jan-25
21,Jammu,Akhnoor,Onion,Other,Non-FAQ,2400,2800,2600,22-Jan-25
22,Sholapur,Akluj,Onion,Red,FAQ,800,4000,2800,05-Jan-25
23,Akola,Akola,Onion,Other,FAQ,1500,2500,2000,09-Jan-25
24,Akola,Akola,Onion,Other,FAQ,2000,2700,2500,10-Jan-25
25,Akola,Akola,Onion,Other,Local,2000,2900,2500,28-Jan-25
26,Alipurduar,Alipurduar,Onion,Other,FAQ,2600,3000,2800,18-Jan-25
27,Alipurduar,Alipurduar,Onion,Other,FAQ,3000,3200,3100,05-Jan-25
28,Alipurduar,Alipurduar,Onion,Other,FAQ,3000,3300,3200,02-Jan-25
29,Prayagraj,Allahabad,Onion,Red,FAQ,1880,2000,1920,25-Jan-25
30,Prayagraj,Allahabad,Onion,Red,FAQ,1900,2000,1920,23-Jan-25
31,Ernakulam,Aluva,Onion,Big,FAQ,3500,4000,3800,30-Jan-25
32,Ernakulam,Aluva,Onion,Big,FAQ,3600,4000,3800,27-Jan-25
33,Ernakulam,Aluva,Onion,Big,FAQ,3800,4500,4200,22-Jan-25
34,Alwar,Alwar (F&V),Onion,Other,FAQ,750,2037,1500,22-Jan-25
35,Alwar,Alwar (F&V),Onion,Other,FAQ,875,2000,1625,17-Jan-25
36,Alwar,Alwar (F&V),Onion,Other,FAQ,1000,2250,1500,10-Jan-25
37,Alwar,Alwar (F&V),Onion,Other,FAQ,1000,2250,1625,07-Jan-25
38,Thirunelveli,Ambasamudram(Uzhavar Sandhai ),Onion,Bellary,Local,3300,4000,4000,18-Jan-25
39,Thiruvellore,Ambattur(Uzhavar Sandhai ),Onion,Bellary,Local,4000,4000,4000,11-Jan-25
40,Salem,Ammapet(Uzhavar Sandhai ),Onion,Bellary,Local,4500,5000,5000,01-Feb-25
41,Amarawati,Amrawati(Frui & Veg. Market),Onion,Red,FAQ,800,2500,1650,19-Jan-25
42,Amarawati,Amrawati(Frui & Veg. Market),Onion,Red,Local,1500,2000,1750,01-Feb-25
43,Amroha,Amroha,Onion,Red,FAQ,2150,2340,2260,18-Jan-25
44,Madurai,Anaiyur(Uzhavar Sandhai ),Onion,Bellary,Local,4500,5000,5000,26-Jan-25
45,Madurai,Anaiyur(Uzhavar Sandhai ),Onion,Bellary,Local,4500,5000,5000,29-Jan-25
