Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Bhojpur,Aarah,Potato,Jyoti,FAQ,1800,2000,1900,10-Jan-25
2,Fazilka,Abohar,Potato,Potato,FAQ,1150,1850,1750,15-Jan-25
3,Auraiya,Achalda,Potato,Badshah,FAQ,1000,1150,1090,30-Jan-25
4,Auraiya,Achalda,Potato,Badshah,FAQ,1100,1250,1200,27-Jan-25
5,Agra,Achnera,Potato,Desi,FAQ,900,1100,1010,30-Jan-25
6,Agra,Achnera,Potato,Desi,FAQ,1220,1420,1320,08-Jan-25
7,Shajapur,Agar,Potato,Potato,Non-FAQ,1000,1225,1225,30-Jan-25
8,Agra,Agra,Potato,Desi,FAQ,1250,1500,1350,05-Jan-25
9,Agra,Agra,Potato,Desi,FAQ,1250,1500,1380,03-Jan-25
10,Mirzapur,Ahirora,Potato,Badshah,Non-FAQ,1200,1400,1300,19-Jan-25
11,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Potato,Jalander,FAQ,800,1100,1000,27-Jan-25
12,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Potato,Other,FAQ,1000,1200,1100,29-Jan-25
13,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Potato,(Red Nanital),Local,4200,4400,4400,22-Jan-25
14,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Potato,(Red Nanital),Local,4200,4400,4400,30-Jan-25
15,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Potato,(Red Nanital),Local,4400,4600,4600,04-Jan-25
16,Prayagraj,Ajuha,Potato,Desi,FAQ,1100,1210,1150,24-Jan-25
17,Prayagraj,Ajuha,Potato,Desi,FAQ,1300,1420,1360,11-Jan-25
18,Prayagraj,Ajuha,Potato,Desi,FAQ,1380,1520,1440,04-Jan-25
19,Prayagraj,Ajuha,Potato,Desi,FAQ,1400,1530,1470,01-Jan-25
20,Ambedkarnagar,Akbarpur,Potato,Desi,FAQ,1150,1300,1210,27-Jan-25
21,Ambedkarnagar,Akbarpur,Potato,Desi,FAQ,1180,1300,1220,25-Jan-25
22,Ambedkarnagar,Akbarpur,Potato,Desi,FAQ,1200,1250,1220,26-Jan-25
23,Ambedkarnagar,Akbarpur,Potato,Desi,FAQ,1200,1280,1250,17-Jan-25
24,Ambedkarnagar,Akbarpur,Potato,Desi,FAQ,1500,1650,1560,03-Jan-25
25,Ambedkarnagar,Akbarpur,Potato,Desi,Non-FAQ,1000,1140,1130,30-Jan-25
26,Ambedkarnagar,Akbarpur,Potato,Potato,FAQ,1200,1250,1230,18-Jan-25
27,Sholapur,Akluj,Potato,Other,FAQ,1800,2200,2000,06-Jan-25
28,Aligarh,Aligarh,Potato,Desi,FAQ,1300,1500,1420,12-Jan-25
29,Alipurduar,Alipurduar,Potato,Other,FAQ,900,1000,950,23-Jan-25
30,Alipurduar,Alipurduar,Potato,Other,FAQ,900,1000,950,24-Jan-25
31,Prayagraj,Allahabad,Potato,Chandermukhi,FAQ,1100,1200,1150,23-Jan-25
32,Prayagraj,Allahabad,Potato,Chandermukhi,FAQ,1350,1440,1385,09-Jan-25
33,Prayagraj,Allahabad,Potato,Chandermukhi,FAQ,1450,1525,1480,01-Jan-25
34,Ernakulam,Aluva,Potato,Potato,FAQ,3000,4000,3500,06-Jan-25
35,Ernakulam,Aluva,Potato,Potato,FAQ,3500,4500,4000,02-Jan-25
36,Alwar,Alwar (F&V),Potato,Other,FAQ,1000,1400,1200,30-Jan-25
37,Alwar,Alwar (F&V),Potato,Other,FAQ,1400,1800,1600,18-Jan-25
38,Alwar,Alwar (F&V),Potato,Other,FAQ,1800,2200,2000,07-Jan-25
39,Thiruvellore,Ambattur(Uzhavar Sandhai ),Potato,(Red Nanital),Local,4000,4000,4000,28-Jan-25
40,Thiruvellore,Ambattur(Uzhavar Sandhai ),Potato,(Red Nanital),Local,5000,5000,5000,01-Jan-25
41,Salem,Ammapet(Uzhavar Sandhai ),Potato,(Red Nanital),Local,4600,5500,5500,05-Jan-25
42,Amarawati,Amrawati(Frui & Veg. Market),Potato,Local,FAQ,1000,2800,1900,07-Jan-25
43,Amroha,Amroha,Potato,Kufri Megha,FAQ,1350,1500,1420,06-Jan-25
44,Madurai,Anaiyur(Uzhavar Sandhai ),Potato,(Red Nanital),Local,4500,5000,5000,29-Jan-25
45,Anand,"Anand(Veg,Yard,Anand)",Potato,Potato,FAQ,1250,1750,1500,16-Jan-25
46,Anand,"Anand(Veg,Yard,Anand)",Potato,Potato,FAQ,1500,2000,1800,09-Jan-25
47,Maharajganj,Anandnagar,Potato,Red,FAQ,2000,2400,2200,08-Jan-25
48,Kollam,Anchal,Potato,Other,FAQ,4700,4900,4800,01-Feb-25
49,Theni,Andipatti(Uzhavar Sandhai ),Potato,(Red Nanital),Local,3500,4000,4000,28-Jan-25
50,Theni,Andipatti(Uzhavar Sandhai ),Potato,(Red Nanital),Local,3500,4000,4000,31-Jan-25
51,Sirohi,Abu Road,Potato,Other,FAQ,1475,1525,1500,01-Jan-25
52,Auraiya,Achalda,Potato,Badshah,FAQ,1200,1300,1250,23-Jan-25
53,Agra,Achnera,Potato,Desi,FAQ,860,1060,960,31-Jan-25
54,Agra,Achnera,Potato,Desi,FAQ,940,1140,1040,27-Jan-25
55,Agra,Achnera,Potato,Desi,FAQ,1120,1320,1220,23-Jan-25
56,Agra,Achnera,Potato,Desi,FAQ,1200,1380,1290,13-Jan-25
57,Agra,Achnera,Potato,Desi,FAQ,1220,1420,1320,09-Jan-25
58,Agra,Achnera,Potato,Desi,FAQ,1300,1480,1390,04-Jan-25
59,Agra,Agra,Potato,Desi,FAQ,850,1050,950,31-Jan-25
60,Agra,Agra,Potato,Desi,FAQ,1150,1350,1250,18-Jan-25
61,Agra,Agra,Potato,Desi,FAQ,1250,1480,1340,06-Jan-25
62,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Potato,Chips,FAQ,2200,2600,2500,24-Jan-25
