Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Auraiya,Achalda,Rice,III,FAQ,2900,3150,3040,06-Jan-25
2,Agra,Achnera,Rice,III,FAQ,3220,3260,3240,28-Jan-25
3,Prayagraj,Ajuha,Rice,Common,FAQ,3100,3160,3130,18-Jan-25
4,Aligarh,Aligarh,Rice,III,FAQ,3180,3220,3200,22-Jan-25
5,Aligarh,Aligarh,Rice,III,FAQ,3180,3300,3240,07-Jan-25
6,Aligarh,Aligarh,Rice,III,FAQ,3200,3260,3230,01-Jan-25
7,Prayagraj,Allahabad,Rice,Basmati U.P. (New),FAQ,8400,8500,8450,24-Jan-25
8,Prayagraj,Allahabad,Rice,Common,FAQ,3120,3170,3150,21-Jan-25
9,Prayagraj,Allahabad,Rice,Common,FAQ,3150,3250,3175,08-Jan-25
10,Amroha,Amroha,Rice,III,FAQ,3230,3260,3245,25-Jan-25
11,Maharajganj,Anandnagar,Rice,III,FAQ,2600,3000,2800,01-Jan-25
12,Maharajganj,Anandnagar,Rice,III,FAQ,2600,3000,2800,07-Jan-25
13,Maharajganj,Anandnagar,Rice,III,FAQ,2600,3000,2800,23-Jan-25
14,Paschim Bardhaman,Asansol,Rice,Fine,FAQ,3600,3750,3700,06-Jan-25
15,Paschim Bardhaman,Asansol,Rice,Fine,FAQ,3650,3850,3700,25-Jan-25
16,Auraiya,Auraiya,Rice,Common,FAQ,2900,3160,3060,03-Jan-25
17,Azamgarh,Azamgarh,Rice,III,FAQ,3100,3200,3145,15-Jan-25
18,Azamgarh,Azamgarh,Rice,III,FAQ,3125,3225,3175,07-Jan-25
19,Raebarelli,Bachranwa,Rice,Common,FAQ,3125,3150,3145,13-Jan-25
20,Raebarelli,Bachranwa,Rice,Common,FAQ,3140,3165,3150,08-Jan-25
21,Badaun,Badayoun,Rice,III,FAQ,3230,3320,3275,09-Jan-25
22,Badaun,Badayoun,Rice,III,FAQ,3250,3320,3285,31-Jan-25
23,Bareilly,Bahedi,Rice,Other,FAQ,2825,2880,2850,15-Jan-25
24,Bareilly,Bahedi,Rice,Other,FAQ,2830,2880,2860,17-Jan-25
25,Bahraich,Bahraich,Rice,Common,FAQ,3000,3350,3200,02-Jan-25
26,Bahraich,Bahraich,Rice,Common,FAQ,3050,3375,3195,17-Jan-25
27,Puruliya,Balarampur,Rice,Other,FAQ,3900,4200,4000,18-Jan-25
28,Puruliya,Balarampur,Rice,Other,FAQ,3900,4200,4100,12-Jan-25
29,Puruliya,Balarampur,Rice,Other,FAQ,3920,4200,4000,25-Jan-25
30,Balrampur,Balrampur,Rice,III,FAQ,3065,3285,3180,13-Jan-25
31,Balrampur,Balrampur,Rice,III,FAQ,3100,3300,3200,25-Jan-25
32,Banda,Banda,Rice,III,FAQ,3170,3325,3250,06-Jan-25
33,Bangalore,Bangalore,Rice,Dappa,FAQ,3800,4200,4000,18-Jan-25
34,Bangalore,Bangalore,Rice,Fine,FAQ,5400,6000,5700,07-Jan-25
35,Bangalore,Bangalore,Rice,Fine,FAQ,5400,6000,5700,09-Jan-25
36,Bangalore,Bangalore,Rice,Fine,FAQ,5400,6000,5700,18-Jan-25
37,Bangalore,Bangalore,Rice,Medium,FAQ,4600,4900,4750,21-Jan-25
38,Bangalore,Bangalore,Rice,Medium,FAQ,4700,5600,5150,15-Jan-25
39,Unnao,Bangarmau,Rice,III,FAQ,3080,3180,3130,19-Jan-25
40,Unnao,Bangarmau,Rice,III,FAQ,3100,3200,3150,24-Jan-25
41,Kolar,Bangarpet,Rice,Broken Rice,FAQ,2000,3000,2900,07-Jan-25
42,Bankura,Bankura Sadar,Rice,Common,FAQ,3480,3550,3500,15-Jan-25
43,Baghpat,Baraut,Rice,III,FAQ,3200,3400,3290,28-Jan-25
44,Sounth 24 Parganas,Baruipur(Canning),Rice,Common,FAQ,3400,3500,3450,12-Jan-25
45,Sounth 24 Parganas,Baruipur(Canning),Rice,Common,FAQ,3400,3500,3450,29-Jan-25
46,Sounth 24 Parganas,Baruipur(Canning),Rice,Common,FAQ,3400,3500,3450,30-Jan-25
47,Sounth 24 Parganas,Baruipur(Canning),Rice,Common,FAQ,3400,3600,3500,20-Jan-25
48,Sounth 24 Parganas,Baruipur(Canning),Rice,Common,FAQ,3450,3550,3500,22-Jan-25
49,Sounth 24 Parganas,Baruipur(Canning),Rice,Super Fine,FAQ,4600,4800,4700,01-Feb-25
50,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,3308,4111,3694,08-Jan-25
51,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,3400,3400,3400,14-Jan-25
52,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,3400,3460,3434,01-Feb-25
53,Auraiya,Achalda,Rice,III,FAQ,3000,3100,3050,27-Jan-25
54,Auraiya,Achalda,Rice,III,FAQ,3000,3100,3050,31-Jan-25
55,Agra,Agra,Rice,III,FAQ,3270,3400,3325,04-Jan-25
56,Agra,Agra,Rice,III,FAQ,3280,3420,3340,02-Jan-25
57,Agra,Agra,Rice,III,FAQ,3300,3450,3350,15-Jan-25
58,Prayagraj,Ajuha,Rice,Common,FAQ,3100,3160,3140,27-Jan-25
59,Prayagraj,Ajuha,Rice,Common,FAQ,3100,3165,3140,17-Jan-25
60,Prayagraj,Ajuha,Rice,Common,FAQ,3100,3170,3150,24-Jan-25
61,Ambedkarnagar,Akbarpur,Rice,Common,FAQ,2900,3050,2950,31-Jan-25
62,Ambedkarnagar,Akbarpur,Rice,Common,FAQ,2900,3050,2960,04-Jan-25
63,Ambedkarnagar,Akbarpur,Rice,Common,FAQ,2900,3050,2970,28-Jan-25
64,Ambedkarnagar,Akbarpur,Rice,Common,FAQ,2900,3050,2980,30-Jan-25
65,Ambedkarnagar,Akbarpur,Rice,Common,FAQ,3080,3200,3140,13-Jan-25
66,Raigad,Alibagh,Rice,Other,FAQ,3000,3500,3250,08-Jan-25
67,Raigad,Alibagh,Rice,Other,FAQ,3000,3500,3250,13-Jan-25
68,Raigad,Alibagh,Rice,Other,FAQ,3000,3500,3250,14-Jan-25
69,Raigad,Alibagh,Rice,Other,Local,3000,3500,3250,28-Jan-25
70,Aligarh,Aligarh,Rice,III,FAQ,3200,3280,3250,29-Jan-25
71,Aligarh,Aligarh,Rice,III,FAQ,3200,3300,3260,15-Jan-25
72,Prayagraj,Allahabad,Rice,Common,FAQ,3100,3200,3150,17-Jan-25
73,Prayagraj,Allahabad,Rice,Common,FAQ,3100,3200,3150,24-Jan-25
74,Prayagraj,Allahabad,Rice,Common,FAQ,3100,3200,3160,22-Jan-25
75,Prayagraj,Allahabad,Rice,Common,FAQ,3150,3250,3180,09-Jan-25
76,Amroha,Amroha,Rice,III,FAQ,3220,3270,3250,20-Jan-25
77,Amroha,Amroha,Rice,III,FAQ,3250,3280,3260,24-Jan-25
78,Maharajganj,Anandnagar,Rice,III,FAQ,2600,3000,2800,25-Jan-25
79,Maharajganj,Anandnagar,Rice,III,FAQ,2600,3000,2800,31-Jan-25
