Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Sirohi,Abu Road,Tomato,Other,FAQ,575,625,600,11-Jan-25
2,Auraiya,Achalda,Tomato,Hybrid,FAQ,1100,1200,1200,18-Jan-25
3,Auraiya,Achalda,Tomato,Hybrid,FAQ,1100,1250,1200,08-Jan-25
4,Auraiya,Achalda,Tomato,Hybrid,FAQ,1100,1250,1200,13-Jan-25
5,Auraiya,Achalda,Tomato,Hybrid,FAQ,1200,1300,1250,01-Jan-25
6,Agra,Achnera,Tomato,Deshi,FAQ,730,830,780,13-Jan-25
7,Agra,Achnera,Tomato,Deshi,FAQ,740,820,780,28-Jan-25
8,Agra,Achnera,Tomato,Deshi,FAQ,790,870,830,10-Jan-25
9,Idukki,Adimali,Tomato,Hybrid,FAQ,4000,5000,4000,31-Jan-25
10,Idukki,Adimali,Tomato,Hybrid,FAQ,5000,5000,5000,22-Jan-25
11,Agra,Agra,Tomato,Deshi,FAQ,600,850,750,11-Jan-25
12,Agra,Agra,Tomato,Deshi,FAQ,650,850,760,31-Jan-25
13,Agra,Agra,Tomato,Deshi,FAQ,700,900,800,30-Jan-25
14,Mirzapur,Ahirora,Tomato,Hybrid,FAQ,300,500,400,14-Jan-25
15,Mirzapur,Ahirora,Tomato,Hybrid,Non-FAQ,200,300,300,26-Jan-25
16,Ahmedabad,Ahmedabad,Tomato,Other,FAQ,600,1400,1000,17-Jan-25
17,Ahmedabad,Ahmedabad,Tomato,Other,FAQ,800,2000,1400,10-Jan-25
18,Sangrur,Ahmedgarh,Tomato,Other,FAQ,1500,1600,1500,07-Jan-25
19,Ahmednagar,Ahmednagar,Tomato,Other,Local,300,1200,750,30-Jan-25
20,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tomato,Deshi,Local,1400,1600,1600,07-Jan-25
21,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tomato,Deshi,Local,1600,1800,1800,21-Jan-25
22,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,600,1000,850,13-Jan-25
23,Ambedkarnagar,Akbarpur,Tomato,Hybrid,FAQ,1300,1350,1320,17-Jan-25
24,Ambedkarnagar,Akbarpur,Tomato,Hybrid,FAQ,1400,1500,1450,09-Jan-25
25,Sholapur,Akluj,Tomato,Local,FAQ,500,1000,700,16-Jan-25
26,Sholapur,Akluj,Tomato,Local,FAQ,800,1600,1400,11-Jan-25
27,Sholapur,Akluj,Tomato,Local,FAQ,1000,1300,1200,04-Jan-25
28,Pudukkottai,Alangudi(Uzhavar Sandhai ),Tomato,Deshi,Local,2000,2500,2500,05-Jan-25
29,Aligarh,Aligarh,Tomato,Hybrid,FAQ,700,900,820,31-Jan-25
30,Aligarh,Aligarh,Tomato,Hybrid,FAQ,1100,1300,1200,03-Jan-25
31,Aligarh,Aligarh,Tomato,Hybrid,Non-FAQ,600,740,680,29-Jan-25
32,Alipurduar,Alipurduar,Tomato,Other,FAQ,1200,1600,1400,29-Jan-25
33,Alipurduar,Alipurduar,Tomato,Other,FAQ,1500,2000,1800,23-Jan-25
34,Alipurduar,Alipurduar,Tomato,Other,FAQ,2000,3000,2500,16-Jan-25
35,Prayagraj,Allahabad,Tomato,Hybrid,FAQ,1030,1150,1080,21-Jan-25
36,Prayagraj,Allahabad,Tomato,Hybrid,FAQ,1200,1300,1230,17-Jan-25
37,Prayagraj,Allahabad,Tomato,Hybrid,FAQ,1200,1300,1250,16-Jan-25
38,Ernakulam,Aluva,Tomato,Tomato,FAQ,2300,3000,2700,28-Jan-25
39,Ernakulam,Aluva,Tomato,Tomato,FAQ,2500,3000,2800,25-Jan-25
40,Alwar,Alwar (F&V),Tomato,Other,FAQ,700,1200,1000,24-Jan-25
41,Alwar,Alwar (F&V),Tomato,Other,FAQ,800,1600,1100,17-Jan-25
42,Nagaon,Ambagan,Tomato,Tomato,Local,2000,2200,2000,02-Jan-25
43,Ambala,Ambala Cantt.,Tomato,Other,FAQ,500,800,600,10-Jan-25
44,Thirunelveli,Ambasamudram(Uzhavar Sandhai ),Tomato,Deshi,Local,2500,3000,3000,13-Jan-25
45,Thiruvellore,Ambattur(Uzhavar Sandhai ),Tomato,Deshi,Local,2000,2000,2000,09-Jan-25
46,Thiruvellore,Ambattur(Uzhavar Sandhai ),Tomato,Deshi,Local,2500,2500,2500,07-Jan-25
47,Salem,Ammapet(Uzhavar Sandhai ),Tomato,Deshi,Local,1200,1500,1500,01-Jan-25
48,Salem,Ammapet(Uzhavar Sandhai ),Tomato,Deshi,Local,1500,1800,1800,19-Jan-25
49,Amarawati,Amrawati(Frui & Veg. Market),Tomato,Local,FAQ,1000,1200,1100,12-Jan-25
50,Amroha,Amroha,Tomato,Deshi,FAQ,900,1200,1050,10-Jan-25
51,Madurai,Anaiyur(Uzhavar Sandhai ),Tomato,Deshi,Local,2200,2500,2500,01-Feb-25
52,Anand,"Anand(Veg,Yard,Anand)",Tomato,Other,FAQ,750,1250,1000,10-Jan-25
53,Sirohi,Abu Road,Tomato,Other,FAQ,375,425,400,20-Jan-25
54,Agra,Achnera,Tomato,Deshi,FAQ,720,780,750,31-Jan-25
55,Agra,Agra,Tomato,Deshi,FAQ,600,900,760,14-Jan-25
56,Mirzapur,Ahirora,Tomato,Hybrid,FAQ,300,300,300,03-Jan-25
57,Ahmedabad,Ahmedabad,Tomato,Other,FAQ,300,800,600,01-Feb-25
58,Ahmedabad,Ahmedabad,Tomato,Other,FAQ,400,1000,700,25-Jan-25
59,Ahmedabad,Ahmedabad,Tomato,Other,FAQ,700,1600,1200,15-Jan-25
60,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tomato,Deshi,Local,1800,2000,2000,12-Jan-25
61,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tomato,Deshi,Local,2200,2400,2400,31-Jan-25
62,Prayagraj,Ajuha,Tomato,Deshi,FAQ,1000,1150,1080,24-Jan-25
63,Prayagraj,Ajuha,Tomato,Deshi,FAQ,1230,1380,1300,01-Jan-25
64,Ambedkarnagar,Akbarpur,Tomato,Hybrid,FAQ,1300,1390,1380,15-Jan-25
65,Ambedkarnagar,Akbarpur,Tomato,Local,FAQ,1100,1250,1180,31-Jan-25
66,Ambedkarnagar,Akbarpur,Tomato,Local,FAQ,1600,1660,1650,06-Jan-25
67,Pudukkottai,Alangudi(Uzhavar Sandhai ),Tomato,Deshi,Local,2000,2500,2500,24-Jan-25
68,Pudukkottai,Alangudi(Uzhavar Sandhai ),Tomato,Deshi,Local,2500,3000,3000,30-Jan-25
69,Aligarh,Aligarh,Tomato,Hybrid,FAQ,600,750,700,09-Jan-25
70,Aligarh,Aligarh,Tomato,Hybrid,FAQ,800,950,880,25-Jan-25
71,Aligarh,Aligarh,Tomato,Hybrid,FAQ,900,1100,1000,05-Jan-25
72,Alipurduar,Alipurduar,Tomato,Other,FAQ,600,800,700,01-Feb-25
73,Prayagraj,Allahabad,Tomato,Hybrid,FAQ,1300,1400,1340,09-Jan-25
74,Ernakulam,Aluva,Tomato,Tomato,FAQ,2400,3000,2700,23-Jan-25
75,Thirunelveli,Ambasamudram(Uzhavar Sandhai ),Tomato,Deshi,Local,2000,2500,2500,23-Jan-25
76,Thiruvellore,Ambattur(Uzhavar Sandhai ),Tomato,Deshi,Local,2000,2000,2000,27-Jan-25
77,Thiruvellore,Ambattur(Uzhavar Sandhai ),Tomato,Deshi,Local,2500,2500,2500,29-Jan-25
78,Salem,Ammapet(Uzhavar Sandhai ),Tomato,Deshi,Local,1400,1600,1600,26-Jan-25
79,Amroha,Amroha,Tomato,Deshi,FAQ,800,950,860,29-Jan-25
80,Amroha,Amroha,Tomato,Deshi,FAQ,1160,1350,1260,08-Jan-25
81,Amroha,Amroha,Tomato,Deshi,FAQ,1250,1450,1350,05-Jan-25
82,Madurai,Anaiyur(Uzhavar Sandhai ),Tomato,Deshi,Local,1800,2200,2200,11-Jan-25
83,Madurai,Anaiyur(Uzhavar Sandhai ),Tomato,Deshi,Local,2000,2200,2200,22-Jan-25
84,Anand,"Anand(Veg,Yard,Anand)",Tomato,Other,FAQ,300,500,400,28-Jan-25
85,Anand,"Anand(Veg,Yard,Anand)",Tomato,Other,FAQ,750,1000,900,11-Jan-25
86,Maharajganj,Anandnagar,Tomato,Deshi,FAQ,1000,1600,1400,24-Jan-25
87,Maharajganj,Anandnagar,Tomato,Deshi,FAQ,1000,1600,1400,31-Jan-25
88,Kollam,Anchal,Tomato,Hybrid,FAQ,4500,4700,4600,01-Feb-25
89,Theni,Andipatti(Uzhavar Sandhai ),Tomato,Deshi,Local,1500,2000,2000,20-Jan-25
90,Theni,Andipatti(Uzhavar Sandhai ),Tomato,Deshi,Local,1800,2000,2000,06-Jan-25
91,Ernakulam,Angamaly,Tomato,Other,FAQ,3000,4000,3500,16-Jan-25
92,Ernakulam,Angamaly,Tomato,Other,FAQ,3200,5000,4000,27-Jan-25
93,Ernakulam,Angamaly,Tomato,Other,Non-FAQ,3800,5000,4500,20-Jan-25
94,Bharuch,Ankleshwar,Tomato,Tomato,FAQ,400,900,600,31-Jan-25
95,Bareilly,Anwala,Tomato,Deshi,FAQ,800,1000,900,09-Jan-25
96,Bareilly,Anwala,Tomato,Deshi,FAQ,900,1200,1000,03-Jan-25
97,Bareilly,Anwala,Tomato,Deshi,FAQ,1000,1200,1100,15-Jan-25
98,Thiruvananthapuram,Aralamoodu,Tomato,Tomato,FAQ,2500,3000,3000,25-Jan-25
99,Thiruvananthapuram,Aralamoodu,Tomato,Tomato,Non-FAQ,2500,2500,2500,21-Jan-25
100,Thiruvannamalai,Arani(Uzhavar Sandhai ),Tomato,Deshi,Local,1500,2000,2000,25-Jan-25
101,Pudukkottai,Aranthangi(Uzhavar Sandhai ),Tomato,Deshi,Local,1500,2000,2000,08-Jan-25
102,Pudukkottai,Aranthangi(Uzhavar Sandhai ),Tomato,Deshi,Local,2000,2500,2500,04-Jan-25
103,Auraiya,Achalda,Tomato,Hybrid,FAQ,900,1050,990,23-Jan-25
104,Auraiya,Achalda,Tomato,Hybrid,FAQ,1000,1250,1200,16-Jan-25
105,Agra,Agra,Tomato,Deshi,FAQ,700,950,820,25-Jan-25
106,Agra,Agra,Tomato,Deshi,Non-FAQ,450,600,540,31-Jan-25
107,Mirzapur,Ahirora,Tomato,Hybrid,FAQ,300,300,300,04-Jan-25
108,Mirzapur,Ahirora,Tomato,Hybrid,FAQ,300,300,300,12-Jan-25
109,Ahmedabad,Ahmedabad,Tomato,Other,FAQ,300,1000,700,21-Jan-25
110,Sangrur,Ahmedgarh,Tomato,Other,FAQ,1300,1500,1500,13-Jan-25
111,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tomato,Deshi,Local,1600,1800,1800,18-Jan-25
112,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tomato,Deshi,Local,1800,2000,2000,24-Jan-25
113,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,600,800,700,18-Jan-25
114,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,700,900,800,08-Jan-25
115,Prayagraj,Ajuha,Tomato,Deshi,FAQ,930,1080,1000,29-Jan-25
116,Ambedkarnagar,Akbarpur,Tomato,Local,FAQ,1380,1500,1440,10-Jan-25
117,Ambedkarnagar,Akbarpur,Tomato,Local,FAQ,1400,1600,1450,08-Jan-25
118,Pudukkottai,Alangudi(Uzhavar Sandhai ),Tomato,Deshi,Local,2000,2500,2500,21-Jan-25
119,Pudukkottai,Alangudi(Uzhavar Sandhai ),Tomato,Deshi,Local,2500,3000,3000,31-Jan-25
120,Aligarh,Aligarh,Tomato,Hybrid,FAQ,600,780,720,11-Jan-25
121,Aligarh,Aligarh,Tomato,Hybrid,FAQ,750,900,820,18-Jan-25
122,Aligarh,Aligarh,Tomato,Hybrid,FAQ,950,1150,1050,04-Jan-25
123,Prayagraj,Allahabad,Tomato,Hybrid,FAQ,1000,1150,1075,27-Jan-25
124,Ambala,Ambala City(Subji Mandi),Tomato,Other,FAQ,2500,3500,3000,16-Jan-25
125,Thirunelveli,Ambasamudram(Uzhavar Sandhai ),Tomato,Deshi,Local,2000,2500,2500,07-Jan-25
126,Thirunelveli,Ambasamudram(Uzhavar Sandhai ),Tomato,Deshi,Local,2000,2500,2500,19-Jan-25
127,Thirunelveli,Ambasamudram(Uzhavar Sandhai ),Tomato,Deshi,Local,2000,2500,2500,27-Jan-25
128,Thirunelveli,Ambasamudram(Uzhavar Sandhai ),Tomato,Deshi,Local,2000,2500,2500,31-Jan-25
129,Thirunelveli,Ambasamudram(Uzhavar Sandhai ),Tomato,Deshi,Local,2500,3000,3000,15-Jan-25
130,Thiruvellore,Ambattur(Uzhavar Sandhai ),Tomato,Deshi,Local,2000,2000,2000,03-Jan-25
131,Thiruvellore,Ambattur(Uzhavar Sandhai ),Tomato,Deshi,Local,2000,2000,2000,10-Jan-25
132,Thiruvellore,Ambattur(Uzhavar Sandhai ),Tomato,Deshi,Local,2000,2000,2000,17-Jan-25
133,Thiruvellore,Ambattur(Uzhavar Sandhai ),Tomato,Deshi,Local,2500,2500,2500,01-Feb-25
134,Thiruvellore,Ambattur(Uzhavar Sandhai ),Tomato,Deshi,Local,2500,2500,2500,14-Jan-25
135,Salem,Ammapet(Uzhavar Sandhai ),Tomato,Deshi,Local,1000,1600,1600,07-Jan-25
136,Amarawati,Amrawati(Frui & Veg. Market),Tomato,Local,FAQ,800,1000,900,07-Jan-25
137,Amritsar,Amritsar(Amritsar Mewa Mandi),Tomato,Tomato,FAQ,500,1500,1000,07-Jan-25
138,Amroha,Amroha,Tomato,Deshi,FAQ,820,1050,930,19-Jan-25
139,Madurai,Anaiyur(Uzhavar Sandhai ),Tomato,Deshi,Local,1600,1800,1800,07-Jan-25
140,Madurai,Anaiyur(Uzhavar Sandhai ),Tomato,Deshi,Local,2000,2200,2200,08-Jan-25
141,Anand,"Anand(Veg,Yard,Anand)",Tomato,Other,FAQ,500,1000,750,16-Jan-25
142,Anand,"Anand(Veg,Yard,Anand)",Tomato,Other,FAQ,1000,1250,1150,02-Jan-25
143,Anand,"Anand(Veg,Yard,Anand)",Tomato,Other,FAQ,1250,1500,1350,01-Jan-25
144,Keonjhar,Anandapur,Tomato,Other,Non-FAQ,1000,2000,1500,17-Jan-25
145,Maharajganj,Anandnagar,Tomato,Deshi,FAQ,1000,1600,1300,17-Jan-25
146,Maharajganj,Anandnagar,Tomato,Deshi,FAQ,1000,1600,1330,10-Jan-25
147,Kollam,Anchal,Tomato,Hybrid,FAQ,4400,4600,4500,18-Jan-25
148,Kollam,Anchal,Tomato,Hybrid,FAQ,5000,5200,5100,24-Jan-25
149,Theni,Andipatti(Uzhavar Sandhai ),Tomato,Deshi,Local,1500,2000,2000,01-Feb-25
150,Theni,Andipatti(Uzhavar Sandhai ),Tomato,Deshi,Local,1800,2000,2000,08-Jan-25
151,Ernakulam,Angamaly,Tomato,Other,FAQ,3500,5000,4000,01-Feb-25
152,Sirohi,Abu Road,Tomato,Other,FAQ,575,625,600,10-Jan-25
153,Agra,Achnera,Tomato,Deshi,FAQ,820,900,860,23-Jan-25
154,Idukki,Adimali,Tomato,Hybrid,FAQ,5000,5000,5000,13-Jan-25
155,Mirzapur,Ahirora,Tomato,Hybrid,Non-FAQ,200,300,300,27-Jan-25
156,Ahmedabad,Ahmedabad,Tomato,Other,FAQ,250,700,550,29-Jan-25
157,Ahmedabad,Ahmedabad,Tomato,Other,FAQ,300,800,550,30-Jan-25
158,Ahmedabad,Ahmedabad,Tomato,Other,FAQ,300,1000,750,24-Jan-25
159,Ahmedabad,Ahmedabad,Tomato,Other,FAQ,400,1000,750,27-Jan-25
160,Ahmedabad,Ahmedabad,Tomato,Other,FAQ,400,1000,850,22-Jan-25
161,Ahmedabad,Ahmedabad,Tomato,Other,FAQ,800,2200,1400,06-Jan-25
