Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Kurnool,Adoni,Arhar (Tur/Red Gram)(Whole),777 New Ind,Non-FAQ,3839,6163,6129,31-Jan-25
2,Latur,Ahmedpur,Arhar (Tur/Red Gram)(Whole),Other,FAQ,5100,7975,7509,02-Jan-25
3,Latur,Ahmedpur,Arhar (Tur/Red Gram)(Whole),Other,FAQ,5500,7255,7071,20-Jan-25
4,Latur,Ahmedpur,Arhar (Tur/Red Gram)(Whole),Other,FAQ,6000,7972,7612,03-Jan-25
5,Latur,Ahmedpur,Arhar (Tur/Red Gram)(Whole),Other,FAQ,6700,7786,7603,10-Jan-25
6,Sholapur,Akkalkot,Arhar (Tur/Red Gram)(Whole),Other,FAQ,6000,7708,7580,16-Jan-25
7,Akola,Akola,Arhar (Tur/Red Gram)(Whole),Other,FAQ,6000,8185,7950,21-Jan-25
8,Akola,Akola,Arhar (Tur/Red Gram)(Whole),Other,FAQ,7550,8355,7800,20-Jan-25
9,Akola,Akola,Arhar (Tur/Red Gram)(Whole),Other,FAQ,7555,7670,7650,28-Jan-25
10,Akola,Akola,Arhar (Tur/Red Gram)(Whole),Other,Non-FAQ,6000,7525,7100,28-Jan-25
11,Akola,Akola,Arhar (Tur/Red Gram)(Whole),Other,Non-FAQ,6380,7400,7235,29-Jan-25
12,Nalgonda,Aler,Arhar (Tur/Red Gram)(Whole),777 New Ind,FAQ,7550,7550,7550,20-Jan-25
13,Nalgonda,Aler,Arhar (Tur/Red Gram)(Whole),777 New Ind,FAQ,7550,7550,7550,28-Jan-25
14,Aligarh,Aligarh,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,10100,10200,10150,08-Jan-25
15,Prayagraj,Allahabad,Arhar (Tur/Red Gram)(Whole),Red,FAQ,10400,10500,10450,21-Jan-25
16,Jalgaon,Amalner,Arhar (Tur/Red Gram)(Whole),Other,FAQ,6500,7150,7150,09-Jan-25
17,Amarawati,Amarawati,Arhar (Tur/Red Gram)(Whole),Other,FAQ,6800,7200,7000,15-Jan-25
18,Beed,Ambejaogai,Arhar (Tur/Red Gram)(Whole),Other,FAQ,6400,6900,6800,16-Jan-25
19,Beed,Ambejaogai,Arhar (Tur/Red Gram)(Whole),Other,FAQ,7250,7250,7250,03-Jan-25
20,Salem,Ammapet(Uzhavar Sandhai ),Arhar (Tur/Red Gram)(Whole),Arhar (Whole),Local,4500,5000,5000,01-Feb-25
21,Salem,Ammapet(Uzhavar Sandhai ),Arhar (Tur/Red Gram)(Whole),Arhar (Whole),Local,5500,6000,6000,04-Jan-25
22,Salem,Ammapet(Uzhavar Sandhai ),Arhar (Tur/Red Gram)(Whole),Arhar (Whole),Local,5500,6000,6000,06-Jan-25
23,Salem,Ammapet(Uzhavar Sandhai ),Arhar (Tur/Red Gram)(Whole),Arhar (Whole),Local,6500,7000,7000,12-Jan-25
24,Bharuch,Amod,Arhar (Tur/Red Gram)(Whole),Other,FAQ,7425,8385,7975,17-Jan-25
25,Amarawati,Anajngaon,Arhar (Tur/Red Gram)(Whole),Other,FAQ,5000,7600,6400,03-Jan-25
26,Thiruvannamalai,Arani(Uzhavar Sandhai ),Arhar (Tur/Red Gram)(Whole),Arhar (Whole),Local,7000,8000,8000,21-Jan-25
27,Ranipet,Arcot(Uzhavar Sandhai ),Arhar (Tur/Red Gram)(Whole),Arhar (Whole),Local,7000,8000,8000,22-Jan-25
28,Ranipet,Arcot(Uzhavar Sandhai ),Arhar (Tur/Red Gram)(Whole),Arhar (Whole),Local,8000,8000,8000,14-Jan-25
29,Ranipet,Arcot(Uzhavar Sandhai ),Arhar (Tur/Red Gram)(Whole),Arhar (Whole),Local,8000,8000,8000,16-Jan-25
30,Ranipet,Arcot(Uzhavar Sandhai ),Arhar (Tur/Red Gram)(Whole),Arhar (Whole),Local,8000,8000,8000,21-Jan-25
31,Paschim Bardhaman,Asansol,Arhar (Tur/Red Gram)(Whole),Other,FAQ,10400,10800,10600,08-Jan-25
32,Sehore,Ashta,Arhar (Tur/Red Gram)(Whole),Arhar Dal(Tur),FAQ,6701,8700,8700,21-Jan-25
33,Jalana,Ashti(Jalna),Arhar (Tur/Red Gram)(Whole),Other,FAQ,6780,6780,6780,04-Jan-25
34,Wardha,Ashti(Karanja),Arhar (Tur/Red Gram)(Whole),Other,FAQ,6200,7000,6500,12-Jan-25
35,Wardha,Ashti(Karanja),Arhar (Tur/Red Gram)(Whole),Other,Non-FAQ,6400,6900,6700,29-Jan-25
36,Yavatmal,Babhulgaon,Arhar (Tur/Red Gram)(Whole),Other,Non-FAQ,6400,7390,6900,31-Jan-25
37,Khargone,Badwaha,Arhar (Tur/Red Gram)(Whole),Arhar Dal(Tur),FAQ,2290,7405,7405,08-Jan-25
38,Khargone,Badwaha,Arhar (Tur/Red Gram)(Whole),Arhar Dal(Tur),Non-FAQ,6355,6405,6405,29-Jan-25
39,Bagalkot,Bagalakot,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2151,7089,6252,15-Jan-25
40,Amreli,Bagasara,Arhar (Tur/Red Gram)(Whole),777 New Ind,FAQ,5750,6000,5875,15-Jan-25
41,Dewas,Bagli,Arhar (Tur/Red Gram)(Whole),Arhar Dal(Tur),FAQ,6330,6625,6625,13-Jan-25
42,Badwani,Balwadi,Arhar (Tur/Red Gram)(Whole),Arhar Dal(Tur),FAQ,6700,6900,6800,28-Jan-25
43,Bidar,Basava Kalayana,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,6500,7600,7200,22-Jan-25
44,Beed,Beed,Arhar (Tur/Red Gram)(Whole),Other,FAQ,6060,7300,7131,15-Jan-25
45,Beed,Beed,Arhar (Tur/Red Gram)(Whole),Other,FAQ,7000,7581,7340,04-Jan-25
46,Adilabad,Bhainsa,Arhar (Tur/Red Gram)(Whole),F.A.Q. (Whole),FAQ,4000,7469,6889,09-Jan-25
47,Yavatmal,Aarni,Arhar (Tur/Red Gram)(Whole),Other,FAQ,7200,7951,7500,06-Jan-25
48,Yavatmal,Aarni,Arhar (Tur/Red Gram)(Whole),Other,Non-FAQ,6500,7300,6800,01-Feb-25
49,Mahbubnagar,Achampet,Arhar (Tur/Red Gram)(Whole),Local,FAQ,6225,6565,6405,22-Jan-25
50,Latur,Ahmedpur,Arhar (Tur/Red Gram)(Whole),Other,FAQ,4200,7296,7057,16-Jan-25
51,Latur,Ahmedpur,Arhar (Tur/Red Gram)(Whole),Other,FAQ,6700,7921,7582,04-Jan-25
52,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Arhar (Tur/Red Gram)(Whole),Arhar (Whole),Local,6000,6500,6500,14-Jan-25
53,Akola,Akola,Arhar (Tur/Red Gram)(Whole),Other,Non-FAQ,5500,7500,6950,30-Jan-25
54,Akola,Akot,Arhar (Tur/Red Gram)(Whole),Other,FAQ,7550,7550,7550,22-Jan-25
55,Nalgonda,Aler,Arhar (Tur/Red Gram)(Whole),777 New Ind,FAQ,7550,7550,7550,23-Jan-25
56,Aligarh,Aligarh,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,10100,10250,10200,06-Jan-25
57,Alirajpur,Alirajpur,Arhar (Tur/Red Gram)(Whole),Arhar Dal(Tur),FAQ,4400,4450,4450,19-Jan-25
58,Prayagraj,Allahabad,Arhar (Tur/Red Gram)(Whole),Red,FAQ,10300,10400,10350,28-Jan-25
59,Prayagraj,Allahabad,Arhar (Tur/Red Gram)(Whole),Red,FAQ,10300,10500,10400,10-Jan-25
60,Prayagraj,Allahabad,Arhar (Tur/Red Gram)(Whole),Red,FAQ,10400,10580,10500,03-Jan-25
61,Jalgaon,Amalner,Arhar (Tur/Red Gram)(Whole),Other,FAQ,6900,7000,7000,02-Jan-25
62,Amarawati,Amarawati,Arhar (Tur/Red Gram)(Whole),Other,FAQ,7250,7777,7513,10-Jan-25
63,Amarawati,Amarawati,Arhar (Tur/Red Gram)(Whole),Other,FAQ,7550,7671,7610,29-Jan-25
64,Salem,Ammapet(Uzhavar Sandhai ),Arhar (Tur/Red Gram)(Whole),Arhar (Whole),Local,5000,5500,5500,22-Jan-25
65,Salem,Ammapet(Uzhavar Sandhai ),Arhar (Tur/Red Gram)(Whole),Arhar (Whole),Local,5500,6000,6000,23-Jan-25
66,Bharuch,Amod,Arhar (Tur/Red Gram)(Whole),Other,FAQ,7150,8275,7950,25-Jan-25
67,Bharuch,Amod,Arhar (Tur/Red Gram)(Whole),Other,FAQ,7225,8300,7995,31-Jan-25
68,Bharuch,Amod,Arhar (Tur/Red Gram)(Whole),Other,FAQ,7445,8485,7985,30-Jan-25
69,Amreli,Amreli,Arhar (Tur/Red Gram)(Whole),Hybrid,FAQ,5695,8080,6780,18-Jan-25
70,Wardha,Arvi,Arhar (Tur/Red Gram)(Whole),Other,FAQ,6000,7100,6750,20-Jan-25
71,Wardha,Arvi,Arhar (Tur/Red Gram)(Whole),Other,FAQ,6000,7120,6800,25-Jan-25
72,Wardha,Arvi,Arhar (Tur/Red Gram)(Whole),Other,FAQ,6000,7175,6800,22-Jan-25
73,Paschim Bardhaman,Asansol,Arhar (Tur/Red Gram)(Whole),Other,FAQ,10400,10800,10600,05-Jan-25
74,Sehore,Ashta,Arhar (Tur/Red Gram)(Whole),Arhar Dal(Tur),FAQ,6000,7900,7900,20-Jan-25
75,Jalana,Ashti(Jalna),Arhar (Tur/Red Gram)(Whole),Other,FAQ,6870,6870,6870,10-Jan-25
76,Mahbubnagar,Atmakur,Arhar (Tur/Red Gram)(Whole),Local,FAQ,7500,7600,7500,05-Jan-25
77,Bagalkot,Bagalakot,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,1877,7079,6177,21-Jan-25
78,Dewas,Bagli,Arhar (Tur/Red Gram)(Whole),Arhar Dal(Tur),FAQ,6501,7701,7701,17-Jan-25
79,Dewas,Bagli,Arhar (Tur/Red Gram)(Whole),Arhar Dal(Tur),FAQ,7103,7211,7211,06-Jan-25
80,Badwani,Balwadi,Arhar (Tur/Red Gram)(Whole),Arhar Dal(Tur),FAQ,6800,6900,6900,23-Jan-25
81,Badwani,Balwadi,Arhar (Tur/Red Gram)(Whole),Arhar Dal(Tur),FAQ,7000,7125,7050,09-Jan-25
82,Sholapur,Barshi,Arhar (Tur/Red Gram)(Whole),Other,FAQ,7000,8300,7350,03-Jan-25
83,Bidar,Basava Kalayana,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,6000,7766,7400,01-Jan-25
84,Beed,Beed,Arhar (Tur/Red Gram)(Whole),Other,FAQ,6460,7251,7025,18-Jan-25
85,Beed,Beed,Arhar (Tur/Red Gram)(Whole),Other,FAQ,6480,7100,6886,21-Jan-25
86,Beed,Beed,Arhar (Tur/Red Gram)(Whole),Other,Non-FAQ,6000,7001,6776,28-Jan-25
87,Bellary,Bellary,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,1009,7840,6739,04-Jan-25
88,Bellary,Bellary,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,1360,7429,6609,22-Jan-25
89,Bellary,Bellary,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),Ref grade-1,1985,7119,6155,01-Feb-25
90,Bhopal,Berasia,Arhar (Tur/Red Gram)(Whole),Tur/Arhar-Organic,FAQ,5975,5975,5975,27-Jan-25
91,Bhavnagar,Bhavnagar,Arhar (Tur/Red Gram)(Whole),Other,FAQ,6380,6900,6640,28-Jan-25
92,Bhavnagar,Bhavnagar,Arhar (Tur/Red Gram)(Whole),Other,FAQ,6900,6900,6900,08-Jan-25
93,Bhavnagar,Bhavnagar,Arhar (Tur/Red Gram)(Whole),Other,FAQ,7405,7405,7405,06-Jan-25
94,Amarawati,Achalpur,Arhar (Tur/Red Gram)(Whole),Other,FAQ,7000,8000,7500,15-Jan-25
95,Mahbubnagar,Achampet,Arhar (Tur/Red Gram)(Whole),Local,FAQ,6505,7121,6959,08-Jan-25
96,Ahmednagar,Ahmednagar,Arhar (Tur/Red Gram)(Whole),Other,FAQ,6500,7050,6775,15-Jan-25
97,Ahmednagar,Ahmednagar,Arhar (Tur/Red Gram)(Whole),Other,FAQ,6500,7300,6900,06-Jan-25
98,Sholapur,Akkalkot,Arhar (Tur/Red Gram)(Whole),Other,FAQ,7090,8070,7580,08-Jan-25
99,Akola,Akola,Arhar (Tur/Red Gram)(Whole),Other,FAQ,6700,8695,7720,04-Jan-25
100,Akola,Akola,Arhar (Tur/Red Gram)(Whole),Other,FAQ,7575,7690,7650,31-Jan-25
101,Akola,Akola,Arhar (Tur/Red Gram)(Whole),Other,Non-FAQ,6100,7455,7200,27-Jan-25
102,Aligarh,Aligarh,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,10250,10350,10300,03-Jan-25
103,Prayagraj,Allahabad,Arhar (Tur/Red Gram)(Whole),Red,FAQ,10400,10500,10450,24-Jan-25
104,Amarawati,Amarawati,Arhar (Tur/Red Gram)(Whole),Other,FAQ,7150,7601,7375,03-Jan-25
105,Jalana,Ambad (Vadigodri),Arhar (Tur/Red Gram)(Whole),Other,FAQ,5611,7895,7206,03-Jan-25
106,Beed,Ambejaogai,Arhar (Tur/Red Gram)(Whole),Other,FAQ,6550,7140,7000,21-Jan-25
107,Salem,Ammapet(Uzhavar Sandhai ),Arhar (Tur/Red Gram)(Whole),Arhar (Whole),Local,5000,5500,5500,25-Jan-25
108,Salem,Ammapet(Uzhavar Sandhai ),Arhar (Tur/Red Gram)(Whole),Arhar (Whole),Local,5500,6000,6000,01-Jan-25
109,Amreli,Amreli,Arhar (Tur/Red Gram)(Whole),Hybrid,FAQ,4750,8540,7750,09-Jan-25
110,Amreli,Amreli,Arhar (Tur/Red Gram)(Whole),Hybrid,FAQ,5500,7780,7000,28-Jan-25
111,Amreli,Amreli,Arhar (Tur/Red Gram)(Whole),Hybrid,FAQ,6075,7770,6930,01-Jan-25
112,Thiruvannamalai,Arani(Uzhavar Sandhai ),Arhar (Tur/Red Gram)(Whole),Arhar (Whole),Local,5000,6000,6000,18-Jan-25
113,Thiruvannamalai,Arani(Uzhavar Sandhai ),Arhar (Tur/Red Gram)(Whole),Arhar (Whole),Local,5000,6000,6000,25-Jan-25
114,Thiruvannamalai,Arani(Uzhavar Sandhai ),Arhar (Tur/Red Gram)(Whole),Arhar (Whole),Local,6000,7000,7000,27-Jan-25
115,Ranipet,Arcot(Uzhavar Sandhai ),Arhar (Tur/Red Gram)(Whole),Arhar (Whole),Local,8000,8000,8000,09-Jan-25
116,Paschim Bardhaman,Asansol,Arhar (Tur/Red Gram)(Whole),Arhar Dal(Tur),FAQ,10800,11000,10900,31-Jan-25
117,Paschim Bardhaman,Asansol,Arhar (Tur/Red Gram)(Whole),Other,FAQ,10400,10800,10600,06-Jan-25
118,Paschim Bardhaman,Asansol,Arhar (Tur/Red Gram)(Whole),Other,FAQ,10400,10900,10600,13-Jan-25
119,Sehore,Ashta,Arhar (Tur/Red Gram)(Whole),Arhar Dal(Tur),FAQ,6300,7880,7880,31-Jan-25
120,Sehore,Ashta,Arhar (Tur/Red Gram)(Whole),Arhar Dal(Tur),FAQ,7000,8461,8461,27-Jan-25
121,Jalana,Ashti(Jalna),Arhar (Tur/Red Gram)(Whole),Other,FAQ,7150,7150,7150,06-Jan-25
122,Khargone,Badwaha,Arhar (Tur/Red Gram)(Whole),Arhar Dal(Tur),FAQ,7300,7300,7300,02-Jan-25
123,Khargone,Badwaha,Arhar (Tur/Red Gram)(Whole),Arhar Dal(Tur),Non-FAQ,6450,6450,6450,28-Jan-25
124,Bagalkot,Bagalakot,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,2200,7059,6005,24-Jan-25
125,Amreli,Bagasara,Arhar (Tur/Red Gram)(Whole),777 New Ind,Non-FAQ,5500,6500,6000,30-Jan-25
126,Dewas,Bagli,Arhar (Tur/Red Gram)(Whole),Arhar Dal(Tur),Non-FAQ,6492,7204,7204,23-Jan-25
127,Badwani,Balwadi,Arhar (Tur/Red Gram)(Whole),Arhar Dal(Tur),FAQ,7025,7125,7125,18-Jan-25
128,Raisen,Bareli,Arhar (Tur/Red Gram)(Whole),Tur/Arhar-Organic,FAQ,5000,7065,7065,23-Jan-25
129,Raisen,Bareli,Arhar (Tur/Red Gram)(Whole),Tur/Arhar-Organic,FAQ,6500,7501,7501,30-Jan-25
130,Sholapur,Barshi,Arhar (Tur/Red Gram)(Whole),Other,FAQ,9800,9800,9800,29-Jan-25
131,Bidar,Basava Kalayana,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,6000,7650,7200,11-Jan-25
132,Bidar,Basava Kalayana,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),Ref grade-1,6500,7400,7100,01-Feb-25
133,Beed,Beed,Arhar (Tur/Red Gram)(Whole),Other,FAQ,6599,7211,6951,20-Jan-25
134,Bellary,Bellary,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,4526,7289,6395,18-Jan-25
135,Adilabad,Bhainsa,Arhar (Tur/Red Gram)(Whole),F.A.Q. (Whole),FAQ,4167,7269,7236,31-Jan-25
136,Bhavnagar,Bhavnagar,Arhar (Tur/Red Gram)(Whole),Other,FAQ,6820,7275,7050,22-Jan-25
137,Bhavnagar,Bhavnagar,Arhar (Tur/Red Gram)(Whole),Other,FAQ,7000,7010,7005,17-Jan-25
138,Khargone,Bhikangaon,Arhar (Tur/Red Gram)(Whole),Arhar Dal(Tur),FAQ,5800,7000,7000,06-Jan-25
139,Adilabad,Bhainsa,Arhar (Tur/Red Gram)(Whole),F.A.Q. (Whole),FAQ,4041,7287,7186,30-Jan-25
140,Adilabad,Bhainsa,Arhar (Tur/Red Gram)(Whole),F.A.Q. (Whole),FAQ,5709,7430,7125,17-Jan-25
141,Bhavnagar,Bhavnagar,Arhar (Tur/Red Gram)(Whole),Other,FAQ,5100,7200,6150,13-Jan-25
142,Junagarh,Bhesan,Arhar (Tur/Red Gram)(Whole),Other,FAQ,4500,6775,6000,31-Jan-25
143,Sabarkantha,Bhiloda,Arhar (Tur/Red Gram)(Whole),Other,FAQ,7000,7250,7125,06-Jan-25
144,Nanded,Bhokar,Arhar (Tur/Red Gram)(Whole),Other,FAQ,6755,7181,6968,18-Jan-25
145,Nanded,Bhokar,Arhar (Tur/Red Gram)(Whole),Other,FAQ,7135,7331,7233,10-Jan-25
146,Bhopal,Bhopal,Arhar (Tur/Red Gram)(Whole),Arhar Dal(Tur),FAQ,6350,6350,6350,13-Jan-25
147,Theni,Bodinayakanur(Uzhavar Sandhai ),Arhar (Tur/Red Gram)(Whole),Arhar (Whole),Local,4000,4000,4000,30-Jan-25
148,Yavatmal,Bori Arab,Arhar (Tur/Red Gram)(Whole),Other,Non-FAQ,6600,6880,6760,28-Jan-25
