Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Shajapur,Agar,Black Gram (Urd Beans)(Whole),Urda/Urd,FAQ,5300,5300,5300,21-Jan-25
2,Shajapur,Agar,Black Gram (Urd Beans)(Whole),Urda/Urd,FAQ,5400,5400,5400,27-Jan-25
3,Ahmednagar,Ahmednagar,Black Gram (Urd Beans)(Whole),Other,FAQ,6000,7000,6500,10-Jan-25
4,Alirajpur,Alirajpur,Black Gram (Urd Beans)(Whole),Urda/Urd,FAQ,4500,4500,4500,12-Jan-25
5,Alirajpur,Alirajpur,Black Gram (Urd Beans)(Whole),Urda/Urd,FAQ,8000,8000,8000,30-Jan-25
6,Amarawati,Amarawati,Black Gram (Urd Beans)(Whole),Other,FAQ,6000,6500,6250,11-Jan-25
7,Amarawati,Amarawati,Black Gram (Urd Beans)(Whole),Other,FAQ,6100,6500,6300,24-Jan-25
8,Amarawati,Amarawati,Black Gram (Urd Beans)(Whole),Other,Non-FAQ,6250,6750,6500,28-Jan-25
9,Baran,Atru,Black Gram (Urd Beans)(Whole),Other,FAQ,4690,4690,4690,17-Jan-25
10,Baran,Atru,Black Gram (Urd Beans)(Whole),Other,FAQ,6290,6290,6290,04-Jan-25
11,Latur,Aurad Shahajani,Black Gram (Urd Beans)(Whole),Other,FAQ,4600,5750,5175,03-Jan-25
12,Azamgarh,Azamgarh,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,8965,9065,9015,22-Jan-25
13,Shivpuri,Badarwas,Black Gram (Urd Beans)(Whole),Urda/Urd,Non-FAQ,5005,5800,5800,23-Jan-25
14,Bahraich,Bahraich,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,8950,9150,9050,08-Jan-25
15,Bahraich,Bahraich,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,9000,9150,9075,04-Jan-25
16,Balrampur,Balrampur,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,9010,9225,9110,14-Jan-25
17,Bangalore,Bangalore,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,10200,12000,11100,01-Jan-25
18,Baran,Baran,Black Gram (Urd Beans)(Whole),Other,FAQ,4711,5601,5200,16-Jan-25
19,Baran,Baran,Black Gram (Urd Beans)(Whole),Other,Non-FAQ,4900,6000,5318,29-Jan-25
20,Sholapur,Barshi(Vairag),Black Gram (Urd Beans)(Whole),Other,FAQ,6800,6800,6800,03-Jan-25
21,Bhavnagar,Bhavnagar,Black Gram (Urd Beans)(Whole),Other,FAQ,5000,9500,7250,04-Jan-25
22,Bhavnagar,Bhavnagar,Black Gram (Urd Beans)(Whole),Other,FAQ,5405,6605,6005,11-Jan-25
23,Jhalawar,Bhawani Mandi,Black Gram (Urd Beans)(Whole),Other,FAQ,5650,6001,5826,17-Jan-25
24,Jhalawar,Bhawani Mandi,Black Gram (Urd Beans)(Whole),Other,Non-FAQ,4500,5700,5100,28-Jan-25
25,Sambhal,Bhehjoi,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,7400,7500,7450,03-Jan-25
26,Shravasti,Bhinga,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,8925,9200,9040,20-Jan-25
27,Shravasti,Bhinga,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,8950,9220,9060,15-Jan-25
28,Shravasti,Bhinga,Black Gram (Urd Beans)(Whole),Black Gram (Whole),Non-FAQ,8600,8900,8750,30-Jan-25
29,Bidar,Bidar,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,4088,7079,4957,25-Jan-25
30,Jaipur Rural,Chaksu,Black Gram (Urd Beans)(Whole),Other,FAQ,6410,6410,6410,12-Jan-25
31,Jaipur Rural,Chaksu,Black Gram (Urd Beans)(Whole),Other,FAQ,6890,6920,6920,10-Jan-25
32,Damoh,Damoh,Black Gram (Urd Beans)(Whole),Urda/Urd,FAQ,4700,7100,7100,04-Jan-25
33,Tonk,Deoli,Black Gram (Urd Beans)(Whole),Other,FAQ,4400,6667,5534,22-Jan-25
34,Murum,Dharashiv,Black Gram (Urd Beans)(Whole),Other,FAQ,4800,5200,5000,23-Jan-25
35,Amreli,Dhari,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,5875,5875,5875,03-Jan-25
36,Rajkot,Dhoraji,Black Gram (Urd Beans)(Whole),Rajkot T-9,Non-FAQ,5680,7430,6780,31-Jan-25
37,Dhule,Dhule,Black Gram (Urd Beans)(Whole),Other,FAQ,5850,6100,5850,10-Jan-25
38,Dhule,Dhule,Black Gram (Urd Beans)(Whole),Other,Non-FAQ,5000,5000,5000,28-Jan-25
39,Dhule,Dondaicha,Black Gram (Urd Beans)(Whole),Other,FAQ,7200,7200,7200,09-Jan-25
40,Tonk,Dooni,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,5300,5650,5475,21-Jan-25
41,Narsinghpur,Gadarwada,Black Gram (Urd Beans)(Whole),Urda/Urd,FAQ,5100,5100,5100,06-Jan-25
42,Vidisha,Ganjbasoda,Black Gram (Urd Beans)(Whole),Urda/Urd,FAQ,3700,7000,7000,03-Jan-25
43,Vidisha,Ganjbasoda,Black Gram (Urd Beans)(Whole),Urda/Urd,FAQ,4200,6000,6000,13-Jan-25
44,Beed,Gevrai,Black Gram (Urd Beans)(Whole),Other,FAQ,4500,5150,4850,10-Jan-25
45,Ghaziabad,Ghaziabad,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,8850,8950,8900,09-Jan-25
46,Ghaziabad,Ghaziabad,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,8850,8950,8900,10-Jan-25
