Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Auraiya,Achalda,Wheat,Dara,FAQ,2800,3000,2900,06-Jan-25
2,Auraiya,Achalda,Wheat,Dara,FAQ,2900,3050,2980,14-Jan-25
3,Agra,Achnera,Wheat,Dara,FAQ,2980,3070,3020,21-Jan-25
4,Agra,Achnera,Wheat,Dara,FAQ,2990,3090,3040,22-Jan-25
5,Shajapur,Agar,Wheat,Wheat,FAQ,2700,3144,3100,07-Jan-25
6,Agra,Agra,Wheat,Dara,FAQ,2900,3000,2940,01-Feb-25
7,Agra,Agra,Wheat,Dara,FAQ,2920,3000,2950,31-Jan-25
8,Agra,Agra,Wheat,Dara,FAQ,2980,3100,3000,04-Jan-25
9,Agra,Agra,Wheat,Dara,FAQ,3000,3100,3040,24-Jan-25
10,Agra,Agra,Wheat,Dara,FAQ,3080,3150,3100,20-Jan-25
11,Jalaun (Orai),Ait,Wheat,Dara,FAQ,2850,2900,2890,31-Jan-25
12,Jalaun (Orai),Ait,Wheat,Dara,FAQ,2900,3000,2950,04-Jan-25
13,Jalaun (Orai),Ait,Wheat,Dara,FAQ,3000,3025,3010,13-Jan-25
14,Panna,Ajaygarh,Wheat,Mill Quality,FAQ,2840,2850,2850,30-Jan-25
15,Prayagraj,Ajuha,Wheat,Dara,FAQ,2790,2850,2830,16-Jan-25
16,Prayagraj,Ajuha,Wheat,Dara,FAQ,2800,2860,2840,18-Jan-25
17,Prayagraj,Ajuha,Wheat,Dara,FAQ,2800,2870,2850,15-Jan-25
18,Prayagraj,Ajuha,Wheat,Dara,FAQ,2800,2870,2850,28-Jan-25
19,Akola,Akola,Wheat,Other,FAQ,2450,3135,2900,01-Jan-25
20,Akola,Akola,Wheat,Other,FAQ,2500,2500,2500,22-Jan-25
21,Akola,Akola,Wheat,Other,FAQ,2550,3600,3200,20-Jan-25
22,Bhind,Alampur,Wheat,Mill Quality,Non-FAQ,2900,2950,2950,23-Jan-25
23,Aligarh,Aligarh,Wheat,Dara,FAQ,2880,2950,2920,31-Jan-25
24,Aligarh,Aligarh,Wheat,Dara,FAQ,2900,2930,2920,09-Jan-25
25,Alwar,Alwar,Wheat,Other,FAQ,2925,2950,2945,24-Jan-25
26,Amarawati,Amarawati,Wheat,Other,FAQ,2850,3100,2975,17-Jan-25
27,Jalana,Ambad (Vadigodri),Wheat,Other,FAQ,2576,3400,2815,02-Jan-25
28,Amreli,Amreli,Wheat,Lokwan,FAQ,2710,3265,3165,11-Jan-25
29,Badwani,Anjad,Wheat,Wheat,FAQ,2800,2815,2800,25-Jan-25
30,Baran,Anta,Wheat,Other,FAQ,2750,2849,2799,03-Jan-25
31,Baran,Anta,Wheat,Other,FAQ,2800,2800,2800,27-Jan-25
32,Anupur,Anuppur,Wheat,Wheat,FAQ,2300,2800,2800,07-Jan-25
33,Hassan,Arasikere,Wheat,Local,FAQ,3260,3260,3260,09-Jan-25
34,Guna,Aron,Wheat,Wheat Mix,FAQ,2705,2705,2705,04-Jan-25
35,Paschim Bardhaman,Asansol,Wheat,Kalyan,FAQ,2400,2700,2650,23-Jan-25
36,Paschim Bardhaman,Asansol,Wheat,Kalyan,FAQ,2560,2700,2600,15-Jan-25
37,Ashoknagar,Ashoknagar,Wheat,Mill Quality,FAQ,2840,2870,2870,23-Jan-25
38,Sehore,Ashta,Wheat,Mill Quality,FAQ,2977,2977,2977,28-Jan-25
39,Sehore,Ashta,Wheat,Sharbati,FAQ,4121,4121,4121,16-Jan-25
40,Sehore,Ashta,Wheat,Wheat,FAQ,2700,4170,2980,28-Jan-25
41,Sehore,Ashta,Wheat,Wheat,FAQ,2730,4040,2990,24-Jan-25
42,Sehore,Ashta,Wheat,Wheat,FAQ,2760,3953,3080,18-Jan-25
43,Aligarh,Atrauli,Wheat,Dara,FAQ,2700,2850,2800,21-Jan-25
44,Baran,Atru,Wheat,Other,FAQ,2890,3070,2980,04-Jan-25
45,Baran,Atru,Wheat,Other,FAQ,2895,2970,2932,17-Jan-25
46,Auraiya,Auraiya,Wheat,Dara,FAQ,2870,2920,2900,02-Jan-25
47,Auraiya,Auraiya,Wheat,Dara,FAQ,2880,2925,2910,03-Jan-25
48,Auraiya,Auraiya,Wheat,Dara,FAQ,2900,2970,2960,22-Jan-25
49,Auraiya,Auraiya,Wheat,Dara,FAQ,2940,3000,2970,27-Jan-25
50,Amreli,Babra,Wheat,Other,FAQ,2670,3180,2925,22-Jan-25
51,Raebarelli,Bachranwa,Wheat,Dara,FAQ,2685,2700,2690,08-Jan-25
52,Raebarelli,Bachranwa,Wheat,Dara,FAQ,2690,2715,2700,09-Jan-25
53,Raebarelli,Bachranwa,Wheat,Dara,FAQ,2725,2750,2735,22-Jan-25
54,Chhatarpur,Badamalhera,Wheat,Mill Quality,FAQ,2712,2950,2940,28-Jan-25
55,Shivpuri,Badarwas,Wheat,Wheat,FAQ,2900,3375,3245,29-Jan-25
56,Auraiya,Achalda,Wheat,Dara,FAQ,2900,3050,2950,01-Feb-25
57,Agra,Achnera,Wheat,Dara,FAQ,2850,2950,2900,01-Jan-25
58,Agra,Achnera,Wheat,Dara,FAQ,2970,3070,3020,28-Jan-25
59,Shajapur,Agar,Wheat,Wheat,FAQ,2708,2751,2751,11-Jan-25
60,Agra,Agra,Wheat,Dara,FAQ,3000,3120,3050,09-Jan-25
61,Agra,Agra,Wheat,Dara,FAQ,3020,3140,3060,10-Jan-25
62,Agra,Agra,Wheat,Dara,FAQ,3050,3140,3090,14-Jan-25
63,Agra,Agra,Wheat,Dara,FAQ,3050,3140,3090,16-Jan-25
64,Jalaun (Orai),Ait,Wheat,Dara,FAQ,2800,2844,2820,01-Feb-25
65,Jalaun (Orai),Ait,Wheat,Dara,FAQ,2950,2989,2970,24-Jan-25
66,Jalaun (Orai),Ait,Wheat,Dara,FAQ,3010,3033,3015,23-Jan-25
67,Panna,Ajaygarh,Wheat,Mill Quality,FAQ,2780,2900,2900,07-Jan-25
68,Prayagraj,Ajuha,Wheat,Dara,FAQ,2780,2850,2820,01-Feb-25
69,Prayagraj,Ajuha,Wheat,Dara,FAQ,2800,2870,2850,20-Jan-25
70,Ambedkarnagar,Akbarpur,Wheat,Dara,FAQ,2800,2850,2830,17-Jan-25
71,Akola,Akola,Wheat,Other,FAQ,2450,2980,2450,02-Jan-25
72,Akola,Akola,Wheat,Sharbati,FAQ,3450,4000,3750,17-Jan-25
73,Bhind,Alampur,Wheat,Wheat,FAQ,2900,3000,3000,05-Jan-25
74,Etah,Aliganj,Wheat,Dara,FAQ,2800,2900,2850,08-Jan-25
75,Aligarh,Aligarh,Wheat,Dara,FAQ,2780,2840,2820,07-Jan-25
76,Aligarh,Aligarh,Wheat,Dara,FAQ,2820,2860,2840,04-Jan-25
77,Aligarh,Aligarh,Wheat,Dara,FAQ,2980,3020,3000,23-Jan-25
78,Alirajpur,Alirajpur,Wheat,Wheat,FAQ,2675,2712,2712,27-Jan-25
79,Alirajpur,Alirajpur,Wheat,Wheat,FAQ,2820,2820,2820,30-Jan-25
80,Prayagraj,Allahabad,Wheat,Dara,FAQ,2750,2850,2800,02-Jan-25
81,Prayagraj,Allahabad,Wheat,Dara,FAQ,2750,2870,2810,08-Jan-25
82,Alwar,Alwar,Wheat,Other,FAQ,3025,3060,3060,13-Jan-25
83,Jalgaon,Amalner,Wheat,Other,FAQ,2700,3300,3300,03-Jan-25
84,Jalgaon,Amalner,Wheat,Other,FAQ,2800,2826,2826,30-Jan-25
85,Amarawati,Amarawati,Wheat,Other,FAQ,2800,3000,2900,06-Jan-25
86,Amarawati,Amarawati,Wheat,Other,FAQ,2850,3000,2925,08-Jan-25
87,Amarawati,Amarawati,Wheat,Other,FAQ,2850,3000,2925,13-Jan-25
88,Amarawati,Amarawati,Wheat,Other,FAQ,2850,3000,2925,21-Jan-25
89,Satna,Amarpatan,Wheat,Mill Quality,FAQ,2800,2816,2810,02-Jan-25
